"disasterNumber","declarationDate","county","state","totalObligated","obligatedDate","fips"
1866,2009,"Mobile","Alabama",0,2010-01-01,"01097"
1866,2009,"Mobile","Alabama",43819.01,2010-01-01,"01097"
1866,2009,"Mobile","Alabama",0,2010-01-01,"01097"
1866,2009,"Mobile","Alabama",9583.85,2010-01-01,"01097"
1866,2009,"Mobile","Alabama",11467.7,2010-01-01,"01097"
1866,2009,"Baldwin","Alabama",7365.02,2010-01-01,"01003"
1866,2009,"Baldwin","Alabama",16502.68,2010-01-01,"01003"
1866,2009,"Mobile","Alabama",24095.19,2010-01-01,"01097"
1866,2009,"Mobile","Alabama",6657.69,2010-01-01,"01097"
1866,2009,"Mobile","Alabama",2249.22,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",1713.86,2010-01-01,"01097"
1866,2009,"Baldwin","Alabama",2520.75,2010-01-01,"01003"
1866,2009,"Baldwin","Alabama",1808.47,2010-01-01,"01003"
1866,2009,"Baldwin","Alabama",1256.81,2010-01-01,"01003"
1866,2009,"Mobile","Alabama",677209.06,2010-01-01,"01097"
1866,2009,"Mobile","Alabama",1895.69,2010-01-01,"01097"
1866,2009,"Mobile","Alabama",4356.62,2010-01-01,"01097"
1866,2009,"Mobile","Alabama",8444.19,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",1542.93,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",0,2012-01-01,"01097"
1866,2009,"Mobile","Alabama",0,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",33201.35,2010-01-01,"01097"
1866,2009,"Baldwin","Alabama",1414878.24,2013-01-01,"01003"
1866,2009,"Baldwin","Alabama",840967.31,2013-01-01,"01003"
1866,2009,"Baldwin","Alabama",11062.5,2013-01-01,"01003"
1866,2009,"Mobile","Alabama",23617.8,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",5067.62,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",6597.99,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",7069.85,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",4335.76,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",4362.59,2011-01-01,"01097"
1866,2009,"Mobile","Alabama",11064.81,2011-01-01,"01097"
1866,2009,"Baldwin","Alabama",3584.1,2010-01-01,"01003"
1866,2009,"Mobile","Alabama",0,2013-01-01,"01097"
1931,2010,"Zapata","Texas",46514.36,2011-01-01,"48505"
1931,2010,"Webb","Texas",24997.84,2011-01-01,"48479"
1931,2010,"Zapata","Texas",15971.71,2011-01-01,"48505"
1931,2010,"Starr","Texas",24470.32,2011-01-01,"48427"
1931,2010,"Jim Hogg","Texas",1305.75,2011-01-01,"48247"
1931,2010,"Jim Hogg","Texas",4725,2011-01-01,"48247"
1931,2010,"Jim Wells","Texas",2339.24,2011-01-01,"48249"
1931,2010,"Lynn","Texas",5302.5,2011-01-01,"48305"
1931,2010,"Jim Wells","Texas",1159.73,2011-01-01,"48249"
1931,2010,"Jim Wells","Texas",1494.16,2011-01-01,"48249"
1931,2010,"Starr","Texas",16047.62,2011-01-01,"48427"
1931,2010,"Zapata","Texas",18141.3,2011-01-01,"48505"
1931,2010,"Maverick","Texas",9630,2011-01-01,"48323"
1931,2010,"Webb","Texas",14400,2011-01-01,"48479"
1931,2010,"Maverick","Texas",6420,2011-01-01,"48323"
1931,2010,"Maverick","Texas",15900,2011-01-01,"48323"
1931,2010,"Maverick","Texas",5222.06,2011-01-01,"48323"
1931,2010,"Zapata","Texas",2505,2011-01-01,"48505"
1931,2010,"Maverick","Texas",29876.83,2011-01-01,"48323"
1931,2010,"Foard","Texas",10518.17,2011-01-01,"48155"
1931,2010,"Foard","Texas",8302.2,2011-01-01,"48155"
1931,2010,"Webb","Texas",13900.35,2011-01-01,"48479"
1931,2010,"Lamb","Texas",3072.54,2011-01-01,"48279"
1931,2010,"Jim Hogg","Texas",1313.28,2011-01-01,"48247"
1931,2010,"Jim Hogg","Texas",4413,2011-01-01,"48247"
1931,2010,"Starr","Texas",4975.56,2011-01-01,"48427"
1931,2010,"Floyd","Texas",7354.86,2011-01-01,"48153"
1931,2010,"Starr","Texas",35759.2,2011-01-01,"48427"
1931,2010,"Lynn","Texas",14470.5,2011-01-01,"48305"
1931,2010,"Foard","Texas",1702.88,2011-01-01,"48155"
